Cliente0,"Bolso de mujer FashionLady, Loción corporal Bodyfresh, Crema hidratante ExtraSoft, Anillo de compromiso EternalLove, Cuerda de salto JumpFit, Guantes de boxeo FightMaster, Kit de pintura ArtMaster, Reloj deportivo SpeedDial"
Cliente1,"Reloj deportivo SpeedDial, Auriculares inalámbricos SoundMax, Mochila urbana UrbanPack, Snack saludable NutriBite, Café molido AromaCafé, Altavoz Bluetooth BeatBox, Tableta KidsPlay, Zapatillas FitnessRun"
Cliente2,"Zapatillas FitnessRun, Gafas de sol SunShade, Perfume Eau de Beauté, Cargador inalámbrico PowerFree, Plancha de pelo StyleWave, Silla de oficina ComfortSeat, Smartwatch ActiveTime, Cámara deportiva ActionCam"
Cliente3,"Cámara deportiva ActionCam, Libro de cocina CocinaFácil, Juego de té TeaDeluxe, Lámpara de escritorio SmartLight, Purificador de aire PureAir, Juguete educativo EduFun, Colchón ortopédico SleepWell, Robot de cocina RoboCook"
Cliente4,"Robot de cocina RoboCook, Televisor 4K UltraView, Consola de videojuegos GameStation, Auriculares gaming ProGamer, Cepillo de dientes eléctrico CleanSmile, Estuche de maquillaje GlamKit, Taza térmica HeatCup, Silla gamer GameSeat"
Cliente5,"Silla gamer GameSeat, Pantalones deportivos SportPants, Sudadera con capucha CozyHood, Banda de resistencia FlexBand, Base de maquillaje CoverPro, Cápsulas de café QuickBrew, Barra de sonido SoundBeam, Enfriador de vino ChillWine"
Cliente6,"Enfriador de vino ChillWine, Mochila de senderismo TrailPack, Hamaca de jardín RelaxSwing, Kit de jardinería GreenThumb, Lente para smartphone PhotoLens, Soporte para laptop CoolStand, Cubiertos de acero inoxiCutlery, Set de maletas TravelPack"
Cliente7,"Set de maletas TravelPack, Monitor gaming ProVision, Router WiFi SpeedNet, Disco duro externo DataVault, Teclado mecánico KeyMaster, Mouse ergonómico ErgoMouse, Sillón reclinable RelaxSeat, Set de sábanas DreamSleep"
Cliente8,"Set de sábanas DreamSleep, Alfombra de yoga FlexMat, Altavoz inteligente VoiceHome, Luz LED ambiental MoodLight, Vaporizador facial SkinMist, Masajeador de manos HandRelief, Termo de acero inoxidable SteelTherm, Batería externa PowerBank"
Cliente9,"Batería externa PowerBank, Soporte de bicicleta BikeStand, Kit de herramientas PowerTool, Impresora multifunción PrintAll, Auriculares deportivos SportSound, Cámara instantánea SnapShot, Lámpara solar SolarLight, Reloj de pared RetroTime"
Cliente10,"Reloj de pared RetroTime, Bolsa térmica CoolBag, Teclado inalámbrico WireKey, Guantes táctiles TouchGlove, Kit de supervivencia SurvivalKit, Termómetro digital DigiTemp, Ventilador portátil AirFlow, Calefactor cerámico HeatPro"
Cliente11,"Calefactor cerámico HeatPro, Despertador digital WakeMate, Cuchillo de chef ChefKnife, Sartén antiadherente PanMaster, Vajilla de porcelana FineDine, Set de copas CrystalGlass, Lupa de lectura ReadEasy, Portadocumentos DocuSafe"
Cliente12,"Portadocumentos DocuSafe, Tarjetero de cuero CardHolder, Paraguas resistente StormGuard, Linterna LED BrightLight, Radio vintage RetroWave, Bolígrafo roller SmoothWrite, Cuaderno de notas NoteBook, Set de pinceles ArtistBrush"
Cliente13,"Set de pinceles ArtistBrush, Marcadores de colores ColorMark, Pizarra magnética MagBoard, Carrito de compras FoldCart, Tabla de planchar IronBoard, Caja de herramientas ToolBox, Organizador de escritorio DeskMate, Caja de accesorios AccesoBox"
Cliente14,"Caja de accesorios AccesoBox, Soporte de TV WallMount, Bolso de mujer FashionLady, Loción corporal Bodyfresh, Crema hidratante ExtraSoft, Anillo de compromiso EternalLove, Cuerda de salto JumpFit, Guantes de boxeo FightMaster"
Cliente15,"Guantes de boxeo FightMaster, Kit de pintura ArtMaster, Reloj deportivo SpeedDial, Auriculares inalámbricos SoundMax, Mochila urbana UrbanPack, Snack saludable NutriBite, Café molido AromaCafé, Altavoz Bluetooth BeatBox"
Cliente16,"Altavoz Bluetooth BeatBox, Tableta KidsPlay, Zapatillas FitnessRun, Gafas de sol SunShade, Perfume Eau de Beauté, Cargador inalámbrico PowerFree, Plancha de pelo StyleWave, Silla de oficina ComfortSeat"
Cliente17,"Silla de oficina ComfortSeat, Smartwatch ActiveTime, Cámara deportiva ActionCam, Libro de cocina CocinaFácil, Juego de té TeaDeluxe, Lámpara de escritorio SmartLight, Purificador de aire PureAir, Juguete educativo EduFun"
Cliente18,"Juguete educativo EduFun, Colchón ortopédico SleepWell, Robot de cocina RoboCook, Televisor 4K UltraView, Consola de videojuegos GameStation, Auriculares gaming ProGamer, Cepillo de dientes eléctrico CleanSmile, Estuche de maquillaje GlamKit"
Cliente19,"Estuche de maquillaje GlamKit, Taza térmica HeatCup, Silla gamer GameSeat, Pantalones deportivos SportPants, Sudadera con capucha CozyHood, Banda de resistencia FlexBand, Base de maquillaje CoverPro, Cápsulas de café QuickBrew"
Cliente20,"Cápsulas de café QuickBrew, Barra de sonido SoundBeam, Enfriador de vino ChillWine, Mochila de senderismo TrailPack, Hamaca de jardín RelaxSwing, Kit de jardinería GreenThumb, Lente para smartphone PhotoLens, Soporte para laptop CoolStand"
Cliente21,"Soporte para laptop CoolStand, Cubiertos de acero inoxiCutlery, Set de maletas TravelPack, Monitor gaming ProVision, Router WiFi SpeedNet, Disco duro externo DataVault, Teclado mecánico KeyMaster, Mouse ergonómico ErgoMouse"
Cliente22,"Mouse ergonómico ErgoMouse, Sillón reclinable RelaxSeat, Set de sábanas DreamSleep, Alfombra de yoga FlexMat, Altavoz inteligente VoiceHome, Luz LED ambiental MoodLight, Vaporizador facial SkinMist, Masajeador de manos HandRelief"
Cliente23,"Masajeador de manos HandRelief, Termo de acero inoxidable SteelTherm, Batería externa PowerBank, Soporte de bicicleta BikeStand, Kit de herramientas PowerTool, Impresora multifunción PrintAll, Auriculares deportivos SportSound, Cámara instantánea SnapShot"
Cliente24,"Cámara instantánea SnapShot, Lámpara solar SolarLight, Reloj de pared RetroTime, Bolsa térmica CoolBag, Teclado inalámbrico WireKey, Guantes táctiles TouchGlove, Kit de supervivencia SurvivalKit, Termómetro digital DigiTemp"
Cliente25,"Termómetro digital DigiTemp, Ventilador portátil AirFlow, Calefactor cerámico HeatPro, Despertador digital WakeMate, Cuchillo de chef ChefKnife, Sartén antiadherente PanMaster, Vajilla de porcelana FineDine, Set de copas CrystalGlass"
Cliente26,"Set de copas CrystalGlass, Lupa de lectura ReadEasy, Portadocumentos DocuSafe, Tarjetero de cuero CardHolder, Paraguas resistente StormGuard, Linterna LED BrightLight, Radio vintage RetroWave, Bolígrafo roller SmoothWrite"
Cliente27,"Bolígrafo roller SmoothWrite, Cuaderno de notas NoteBook, Set de pinceles ArtistBrush, Marcadores de colores ColorMark, Pizarra magnética MagBoard, Carrito de compras FoldCart, Tabla de planchar IronBoard, Caja de herramientas ToolBox"
Cliente28,"Caja de herramientas ToolBox, Organizador de escritorio DeskMate, Caja de accesorios AccesoBox, Soporte de TV WallMount, Bolso de mujer FashionLady, Loción corporal Bodyfresh, Crema hidratante ExtraSoft, Anillo de compromiso EternalLove"
Cliente29,"Anillo de compromiso EternalLove, Cuerda de salto JumpFit, Guantes de boxeo FightMaster, Kit de pintura ArtMaster, Reloj deportivo SpeedDial, Auriculares inalámbricos SoundMax, Mochila urbana UrbanPack, Snack saludable NutriBite"
Cliente30,"Snack saludable NutriBite, Café molido AromaCafé, Altavoz Bluetooth BeatBox, Tableta KidsPlay, Zapatillas FitnessRun, Gafas de sol SunShade, Perfume Eau de Beauté, Cargador inalámbrico PowerFree"
Cliente31,"Cargador inalámbrico PowerFree, Plancha de pelo StyleWave, Silla de oficina ComfortSeat, Smartwatch ActiveTime, Cámara deportiva ActionCam, Libro de cocina CocinaFácil, Juego de té TeaDeluxe, Lámpara de escritorio SmartLight"
