Cliente0,"Bolso de mujer FashionLady, Loción corporal Bodyfresh, Crema hidratante ExtraSoft, Anillo de compromiso EternalLove, Cuerda de salto JumpFit, Guantes de boxeo FightMaster, Kit de pintura ArtMaster, Reloj deportivo SpeedDial"
Cliente1,"Reloj deportivo SpeedDial, Auriculares inalámbricos SoundMax, Mochila urbana UrbanPack, Snack saludable NutriBite, Café molido AromaCafé, Altavoz Bluetooth BeatBox, Tableta KidsPlay, Zapatillas FitnessRun"
Cliente2,"Zapatillas FitnessRun, Gafas de sol SunShade, Perfume Eau de Beauté, Cargador inalámbrico PowerFree, Plancha de pelo StyleWave, Silla de oficina ComfortSeat, Smartwatch ActiveTime, Cámara deportiva ActionCam"
Cliente3,"Cámara deportiva ActionCam, Libro de cocina CocinaFácil, Juego de té TeaDeluxe, Lámpara de escritorio SmartLight, Purificador de aire PureAir, Juguete educativo EduFun, Colchón ortopédico SleepWell, Robot de cocina RoboCook"
Cliente4,"Robot de cocina RoboCook, Televisor 4K UltraView, Consola de videojuegos GameStation, Auriculares gaming ProGamer, Cepillo de dientes eléctrico CleanSmile, Estuche de maquillaje GlamKit, Taza térmica HeatCup, Silla gamer GameSeat"
Cliente5,"Silla gamer GameSeat, Pantalones deportivos SportPants, Sudadera con capucha CozyHood, Banda de resistencia FlexBand, Base de maquillaje CoverPro, Cápsulas de café QuickBrew, Barra de sonido SoundBeam, Enfriador de vino ChillWine"
Cliente6,"Enfriador de vino ChillWine, Mochila de senderismo TrailPack, Hamaca de jardín RelaxSwing, Kit de jardinería GreenThumb, Lente para smartphone PhotoLens, Soporte para laptop CoolStand, Cubiertos de acero inoxiCutlery, Set de maletas TravelPack"
Cliente7,"Set de maletas TravelPack, Monitor gaming ProVision, Router WiFi SpeedNet, Disco duro externo DataVault, Teclado mecánico KeyMaster, Mouse ergonómico ErgoMouse, Sillón reclinable RelaxSeat, Set de sábanas DreamSleep"
Cliente8,"Set de sábanas DreamSleep, Alfombra de yoga FlexMat, Altavoz inteligente VoiceHome, Luz LED ambiental MoodLight, Vaporizador facial SkinMist, Masajeador de manos HandRelief, Termo de acero inoxidable SteelTherm, Batería externa PowerBank"
Cliente9,"Batería externa PowerBank, Soporte de bicicleta BikeStand, Kit de herramientas PowerTool, Impresora multifunción PrintAll, Auriculares deportivos SportSound, Cámara instantánea SnapShot, Lámpara solar SolarLight, Reloj de pared RetroTime"
